Distribuição da população da USP por gênero e por Unidade;;;;;
 ;;;;;
Fonte de dados: Sistemas Janus, Júpiter e Marte;;;;;
Ano de referência: 2022;;;;;
Processado em: 2023;;;;;
;;;;;
Tipo de Unidade;Unidade;Sexo;Categoria;Subcategoria;Total
A - Ensino e Pesquisa;ESALQ;Feminino;Aluno;Pós-Graduação;590
A - Ensino e Pesquisa;ESALQ;Feminino;Aluno;Total;1603
A - Ensino e Pesquisa;ESALQ;Feminino;Pós-Doutorando;Pós-Doutorando;111
A - Ensino e Pesquisa;ESALQ;Feminino;Servidor;Docente;46
A - Ensino e Pesquisa;ESALQ;Feminino;Servidor;Tec/Adm;164
A - Ensino e Pesquisa;ESALQ;Feminino;Total;Total;1924
A - Ensino e Pesquisa;ESALQ;Masculino;Aluno;Graduação;1314
A - Ensino e Pesquisa;ESALQ;Masculino;Aluno;Pós-Graduação;538
A - Ensino e Pesquisa;ESALQ;Masculino;Aluno;Total;1852
A - Ensino e Pesquisa;ESALQ;Masculino;Pós-Doutorando;Pós-Doutorando;102
A - Ensino e Pesquisa;ESALQ;Masculino;Servidor;Docente;137
A - Ensino e Pesquisa;ESALQ;Masculino;Servidor;Tec/Adm;269
A - Ensino e Pesquisa;ESALQ;Masculino;Total;Total;2360
A - Ensino e Pesquisa;FAU;Feminino;Aluno;Graduação;786
A - Ensino e Pesquisa;FAU;Feminino;Aluno;Pós-Graduação;538
A - Ensino e Pesquisa;FAU;Feminino;Aluno;Total;1324
A - Ensino e Pesquisa;FAU;Feminino;Pós-Doutorando;Pós-Doutorando;27
A - Ensino e Pesquisa;FAU;Feminino;Servidor;Docente;49
A - Ensino e Pesquisa;FAU;Feminino;Servidor;Tec/Adm;51
A - Ensino e Pesquisa;FAU;Feminino;Total;Total;1451
A - Ensino e Pesquisa;FAU;Masculino;Aluno;Graduação;542
A - Ensino e Pesquisa;FAU;Masculino;Aluno;Pós-Graduação;364
A - Ensino e Pesquisa;FAU;Masculino;Aluno;Total;906
A - Ensino e Pesquisa;FAU;Masculino;Pós-Doutorando;Pós-Doutorando;24
A - Ensino e Pesquisa;FAU;Masculino;Servidor;Docente;55
A - Ensino e Pesquisa;FAU;Masculino;Servidor;Tec/Adm;70
A - Ensino e Pesquisa;FAU;Masculino;Total;Total;1055
A - Ensino e Pesquisa;FCF;Feminino;Aluno;Graduação;582
A - Ensino e Pesquisa;FCF;Feminino;Aluno;Pós-Graduação;240
A - Ensino e Pesquisa;FCF;Feminino;Aluno;Total;822
A - Ensino e Pesquisa;FCF;Feminino;Pós-Doutorando;Pós-Doutorando;45
A - Ensino e Pesquisa;FCF;Feminino;Servidor;Docente;35
A - Ensino e Pesquisa;FCF;Feminino;Servidor;Tec/Adm;82
A - Ensino e Pesquisa;FCF;Feminino;Total;Total;984
A - Ensino e Pesquisa;FCF;Masculino;Aluno;Graduação;351
A - Ensino e Pesquisa;FCF;Masculino;Aluno;Pós-Graduação;110
A - Ensino e Pesquisa;FCF;Masculino;Aluno;Total;461
A - Ensino e Pesquisa;FCF;Masculino;Pós-Doutorando;Pós-Doutorando;31
A - Ensino e Pesquisa;FCF;Masculino;Servidor;Docente;34
A - Ensino e Pesquisa;FCF;Masculino;Servidor;Tec/Adm;44
A - Ensino e Pesquisa;FCF;Masculino;Total;Total;570
A - Ensino e Pesquisa;FCFRP;Feminino;Aluno;Graduação;320
A - Ensino e Pesquisa;FCFRP;Feminino;Aluno;Pós-Graduação;184
A - Ensino e Pesquisa;FCFRP;Feminino;Aluno;Total;504
A - Ensino e Pesquisa;FCFRP;Feminino;Pós-Doutorando;Pós-Doutorando;37
A - Ensino e Pesquisa;FCFRP;Feminino;Servidor;Docente;50
A - Ensino e Pesquisa;FCFRP;Feminino;Servidor;Tec/Adm;99
A - Ensino e Pesquisa;FCFRP;Feminino;Total;Total;690
A - Ensino e Pesquisa;FCFRP;Masculino;Aluno;Graduação;137
A - Ensino e Pesquisa;FCFRP;Masculino;Aluno;Pós-Graduação;90
A - Ensino e Pesquisa;FCFRP;Masculino;Aluno;Total;227
A - Ensino e Pesquisa;FCFRP;Masculino;Pós-Doutorando;Pós-Doutorando;33
A - Ensino e Pesquisa;FCFRP;Masculino;Servidor;Docente;34
A - Ensino e Pesquisa;FCFRP;Masculino;Servidor;Tec/Adm;74
A - Ensino e Pesquisa;FCFRP;Masculino;Total;Total;368
A - Ensino e Pesquisa;FD;Feminino;Aluno;Graduação;1087
A - Ensino e Pesquisa;FD;Feminino;Aluno;Pós-Graduação;770
A - Ensino e Pesquisa;FD;Feminino;Aluno;Total;1857
A - Ensino e Pesquisa;FD;Feminino;Pós-Doutorando;Pós-Doutorando;26
A - Ensino e Pesquisa;FD;Feminino;Servidor;Docente;25
A - Ensino e Pesquisa;FD;Feminino;Servidor;Tec/Adm;53
A - Ensino e Pesquisa;FD;Feminino;Total;Total;1961
A - Ensino e Pesquisa;FD;Masculino;Aluno;Graduação;1373
A - Ensino e Pesquisa;FD;Masculino;Aluno;Pós-Graduação;1060
A - Ensino e Pesquisa;FD;Masculino;Aluno;Total;2433
A - Ensino e Pesquisa;FD;Masculino;Pós-Doutorando;Pós-Doutorando;47
A - Ensino e Pesquisa;FD;Masculino;Servidor;Docente;115
A - Ensino e Pesquisa;FD;Masculino;Servidor;Tec/Adm;74
A - Ensino e Pesquisa;FD;Masculino;Total;Total;2669
A - Ensino e Pesquisa;FDRP;Feminino;Aluno;Graduação;270
A - Ensino e Pesquisa;FDRP;Feminino;Aluno;Pós-Graduação;75
A - Ensino e Pesquisa;FDRP;Feminino;Aluno;Total;345
A - Ensino e Pesquisa;FDRP;Feminino;Pós-Doutorando;Pós-Doutorando;5
A - Ensino e Pesquisa;FDRP;Feminino;Servidor;Docente;12
A - Ensino e Pesquisa;FDRP;Feminino;Servidor;Tec/Adm;17
A - Ensino e Pesquisa;FDRP;Feminino;Total;Total;379
A - Ensino e Pesquisa;FDRP;Masculino;Aluno;Graduação;252
A - Ensino e Pesquisa;FDRP;Masculino;Aluno;Pós-Graduação;60
A - Ensino e Pesquisa;FDRP;Masculino;Aluno;Total;312
A - Ensino e Pesquisa;FDRP;Masculino;Pós-Doutorando;Pós-Doutorando;12
A - Ensino e Pesquisa;FDRP;Masculino;Servidor;Docente;25
A - Ensino e Pesquisa;FDRP;Masculino;Servidor;Tec/Adm;29
A - Ensino e Pesquisa;FDRP;Masculino;Total;Total;378
A - Ensino e Pesquisa;FE;Feminino;Aluno;Graduação;756
A - Ensino e Pesquisa;FE;Feminino;Aluno;Pós-Graduação;510
A - Ensino e Pesquisa;FE;Feminino;Aluno;Total;1266
A - Ensino e Pesquisa;FE;Feminino;Pós-Doutorando;Pós-Doutorando;41
A - Ensino e Pesquisa;FE;Feminino;Servidor;Docente;52
A - Ensino e Pesquisa;FE;Feminino;Servidor;Tec/Adm;91
A - Ensino e Pesquisa;FE;Feminino;Total;Total;1450
A - Ensino e Pesquisa;FE;Masculino;Aluno;Graduação;180
A - Ensino e Pesquisa;FE;Masculino;Aluno;Pós-Graduação;306
A - Ensino e Pesquisa;FE;Masculino;Aluno;Total;486
A - Ensino e Pesquisa;FE;Masculino;Pós-Doutorando;Pós-Doutorando;31
A - Ensino e Pesquisa;FE;Masculino;Servidor;Docente;31
A - Ensino e Pesquisa;FE;Masculino;Servidor;Tec/Adm;59
A - Ensino e Pesquisa;FE;Masculino;Total;Total;607
A - Ensino e Pesquisa;FEA;Feminino;Aluno;Graduação;847
A - Ensino e Pesquisa;FEA;Feminino;Aluno;Pós-Graduação;308
A - Ensino e Pesquisa;FEA;Feminino;Aluno;Total;1155
A - Ensino e Pesquisa;FEA;Feminino;Pós-Doutorando;Pós-Doutorando;16
A - Ensino e Pesquisa;FEA;Feminino;Servidor;Docente;33
A - Ensino e Pesquisa;FEA;Feminino;Servidor;Tec/Adm;47
A - Ensino e Pesquisa;FEA;Feminino;Total;Total;1251
A - Ensino e Pesquisa;FEA;Masculino;Aluno;Graduação;2200
A - Ensino e Pesquisa;FEA;Masculino;Aluno;Pós-Graduação;472
A - Ensino e Pesquisa;FEA;Masculino;Aluno;Total;2672
A - Ensino e Pesquisa;FEA;Masculino;Pós-Doutorando;Pós-Doutorando;29
A - Ensino e Pesquisa;FEA;Masculino;Servidor;Docente;103
A - Ensino e Pesquisa;FEA;Masculino;Servidor;Tec/Adm;54
A - Ensino e Pesquisa;FEA;Masculino;Total;Total;2858
A - Ensino e Pesquisa;FEARP;Feminino;Aluno;Graduação;481
A - Ensino e Pesquisa;FEARP;Feminino;Aluno;Pós-Graduação;105
A - Ensino e Pesquisa;FEARP;Feminino;Aluno;Total;586
A - Ensino e Pesquisa;FEARP;Feminino;Pós-Doutorando;Pós-Doutorando;9
A - Ensino e Pesquisa;FEARP;Feminino;Servidor;Docente;23
A - Ensino e Pesquisa;FEARP;Feminino;Servidor;Tec/Adm;29
A - Ensino e Pesquisa;FEARP;Feminino;Total;Total;647
A - Ensino e Pesquisa;FEARP;Masculino;Aluno;Graduação;930
A - Ensino e Pesquisa;FEARP;Masculino;Aluno;Pós-Graduação;210
A - Ensino e Pesquisa;FEARP;Masculino;Aluno;Total;1140
A - Ensino e Pesquisa;FEARP;Masculino;Pós-Doutorando;Pós-Doutorando;15
A - Ensino e Pesquisa;FEARP;Masculino;Servidor;Docente;62
A - Ensino e Pesquisa;FEARP;Masculino;Servidor;Tec/Adm;33
A - Ensino e Pesquisa;FEARP;Masculino;Total;Total;1250
A - Ensino e Pesquisa;FFCLRP;Feminino;Aluno;Graduação;1072
A - Ensino e Pesquisa;FFCLRP;Feminino;Aluno;Pós-Graduação;481
A - Ensino e Pesquisa;FFCLRP;Feminino;Aluno;Total;1553
A - Ensino e Pesquisa;FFCLRP;Feminino;Pós-Doutorando;Pós-Doutorando;48
A - Ensino e Pesquisa;FFCLRP;Feminino;Servidor;Docente;86
A - Ensino e Pesquisa;FFCLRP;Feminino;Servidor;Tec/Adm;86
A - Ensino e Pesquisa;FFCLRP;Feminino;Total;Total;1773
A - Ensino e Pesquisa;FFCLRP;Masculino;Aluno;Graduação;934
A - Ensino e Pesquisa;FFCLRP;Masculino;Aluno;Pós-Graduação;405
A - Ensino e Pesquisa;FFCLRP;Masculino;Aluno;Total;1339
A - Ensino e Pesquisa;FFCLRP;Masculino;Pós-Doutorando;Pós-Doutorando;65
A - Ensino e Pesquisa;FFCLRP;Masculino;Servidor;Docente;110
A - Ensino e Pesquisa;FFCLRP;Masculino;Servidor;Tec/Adm;112
A - Ensino e Pesquisa;FFCLRP;Masculino;Total;Total;1626
A - Ensino e Pesquisa;FFLCH;Feminino;Aluno;Graduação;4972
A - Ensino e Pesquisa;FFLCH;Feminino;Aluno;Pós-Graduação;1996
A - Ensino e Pesquisa;FFLCH;Feminino;Aluno;Total;6968
A - Ensino e Pesquisa;FFLCH;Feminino;Pós-Doutorando;Pós-Doutorando;195
A - Ensino e Pesquisa;FFLCH;Feminino;Servidor;Docente;171
A - Ensino e Pesquisa;FFLCH;Feminino;Servidor;Tec/Adm;126
A - Ensino e Pesquisa;FFLCH;Feminino;Total;Total;7460
A - Ensino e Pesquisa;FFLCH;Masculino;Aluno;Graduação;4166
A - Ensino e Pesquisa;FFLCH;Masculino;Aluno;Pós-Graduação;1989
A - Ensino e Pesquisa;FFLCH;Masculino;Aluno;Total;6155
A - Ensino e Pesquisa;FFLCH;Masculino;Pós-Doutorando;Pós-Doutorando;206
A - Ensino e Pesquisa;FFLCH;Masculino;Servidor;Docente;225
A - Ensino e Pesquisa;FFLCH;Masculino;Servidor;Tec/Adm;157
A - Ensino e Pesquisa;FFLCH;Masculino;Total;Total;6743
A - Ensino e Pesquisa;FM;Feminino;Aluno;Graduação;737
A - Ensino e Pesquisa;FM;Feminino;Aluno;Pós-Graduação;1695
A - Ensino e Pesquisa;FM;Feminino;Aluno;Total;2432
A - Ensino e Pesquisa;FM;Feminino;Pós-Doutorando;Pós-Doutorando;161
A - Ensino e Pesquisa;FM;Feminino;Servidor;Docente;125
A - Ensino e Pesquisa;FM;Feminino;Servidor;Tec/Adm;276
A - Ensino e Pesquisa;FM;Feminino;Total;Total;2994
A - Ensino e Pesquisa;FM;Masculino;Aluno;Graduação;743
A - Ensino e Pesquisa;FM;Masculino;Aluno;Pós-Graduação;1065
A - Ensino e Pesquisa;FM;Masculino;Aluno;Total;1808
A - Ensino e Pesquisa;FM;Masculino;Pós-Doutorando;Pós-Doutorando;140
A - Ensino e Pesquisa;FM;Masculino;Servidor;Docente;204
A - Ensino e Pesquisa;FM;Masculino;Servidor;Tec/Adm;134
A - Ensino e Pesquisa;FM;Masculino;Total;Total;2286
A - Ensino e Pesquisa;FMRP;Feminino;Aluno;Graduação;828
A - Ensino e Pesquisa;FMRP;Feminino;Aluno;Pós-Graduação;1104
A - Ensino e Pesquisa;FMRP;Feminino;Aluno;Total;1932
A - Ensino e Pesquisa;FMRP;Feminino;Pós-Doutorando;Pós-Doutorando;129
A - Ensino e Pesquisa;FMRP;Feminino;Servidor;Docente;106
A - Ensino e Pesquisa;FMRP;Feminino;Servidor;Tec/Adm;261
A - Ensino e Pesquisa;FMRP;Feminino;Total;Total;2428
A - Ensino e Pesquisa;FMRP;Masculino;Aluno;Graduação;611
A - Ensino e Pesquisa;FMRP;Masculino;Aluno;Pós-Graduação;719
A - Ensino e Pesquisa;FMRP;Masculino;Aluno;Total;1330
A - Ensino e Pesquisa;FMRP;Masculino;Pós-Doutorando;Pós-Doutorando;86
A - Ensino e Pesquisa;FMRP;Masculino;Servidor;Docente;172
A - Ensino e Pesquisa;FMRP;Masculino;Servidor;Tec/Adm;160
A - Ensino e Pesquisa;FMRP;Masculino;Total;Total;1748
A - Ensino e Pesquisa;FMVZ;Feminino;Aluno;Graduação;357
A - Ensino e Pesquisa;FMVZ;Feminino;Aluno;Pós-Graduação;355
A - Ensino e Pesquisa;FMVZ;Feminino;Aluno;Total;712
A - Ensino e Pesquisa;FMVZ;Feminino;Pós-Doutorando;Pós-Doutorando;38
A - Ensino e Pesquisa;FMVZ;Feminino;Servidor;Docente;36
A - Ensino e Pesquisa;FMVZ;Feminino;Servidor;Tec/Adm;110
A - Ensino e Pesquisa;FMVZ;Feminino;Total;Total;896
A - Ensino e Pesquisa;FMVZ;Masculino;Aluno;Graduação;136
A - Ensino e Pesquisa;FMVZ;Masculino;Aluno;Pós-Graduação;190
A - Ensino e Pesquisa;FMVZ;Masculino;Aluno;Total;326
A - Ensino e Pesquisa;FMVZ;Masculino;Pós-Doutorando;Pós-Doutorando;24
A - Ensino e Pesquisa;FMVZ;Masculino;Servidor;Docente;49
A - Ensino e Pesquisa;FMVZ;Masculino;Servidor;Tec/Adm;131
A - Ensino e Pesquisa;FMVZ;Masculino;Total;Total;530
A - Ensino e Pesquisa;FO;Feminino;Aluno;Graduação;516
A - Ensino e Pesquisa;FO;Feminino;Aluno;Pós-Graduação;393
A - Ensino e Pesquisa;FO;Feminino;Aluno;Total;909
A - Ensino e Pesquisa;FO;Feminino;Pós-Doutorando;Pós-Doutorando;19
A - Ensino e Pesquisa;FO;Feminino;Servidor;Docente;55
A - Ensino e Pesquisa;FO;Feminino;Servidor;Tec/Adm;88
A - Ensino e Pesquisa;FO;Feminino;Total;Total;1071
A - Ensino e Pesquisa;FO;Masculino;Aluno;Graduação;230
A - Ensino e Pesquisa;FO;Masculino;Aluno;Pós-Graduação;181
A - Ensino e Pesquisa;FO;Masculino;Aluno;Total;411
A - Ensino e Pesquisa;FO;Masculino;Pós-Doutorando;Pós-Doutorando;12
A - Ensino e Pesquisa;FO;Masculino;Servidor;Docente;74
A - Ensino e Pesquisa;FO;Masculino;Servidor;Tec/Adm;79
A - Ensino e Pesquisa;FO;Masculino;Total;Total;576
A - Ensino e Pesquisa;FOB;Feminino;Aluno;Graduação;441
A - Ensino e Pesquisa;FOB;Feminino;Aluno;Pós-Graduação;280
A - Ensino e Pesquisa;FOB;Feminino;Aluno;Total;721
A - Ensino e Pesquisa;FOB;Feminino;Pós-Doutorando;Pós-Doutorando;36
A - Ensino e Pesquisa;FOB;Feminino;Servidor;Docente;59
A - Ensino e Pesquisa;FOB;Feminino;Servidor;Tec/Adm;120
A - Ensino e Pesquisa;FOB;Feminino;Total;Total;936
A - Ensino e Pesquisa;FOB;Masculino;Aluno;Graduação;217
A - Ensino e Pesquisa;FOB;Masculino;Aluno;Pós-Graduação;130
A - Ensino e Pesquisa;FOB;Masculino;Aluno;Total;347
A - Ensino e Pesquisa;FOB;Masculino;Pós-Doutorando;Pós-Doutorando;13
A - Ensino e Pesquisa;FOB;Masculino;Servidor;Docente;41
A - Ensino e Pesquisa;FOB;Masculino;Servidor;Tec/Adm;83
A - Ensino e Pesquisa;FOB;Masculino;Total;Total;484
A - Ensino e Pesquisa;FORP;Feminino;Aluno;Graduação;281
A - Ensino e Pesquisa;FORP;Feminino;Aluno;Pós-Graduação;226
A - Ensino e Pesquisa;FORP;Feminino;Aluno;Total;507
A - Ensino e Pesquisa;FORP;Feminino;Pós-Doutorando;Pós-Doutorando;23
A - Ensino e Pesquisa;FORP;Feminino;Servidor;Docente;35
A - Ensino e Pesquisa;FORP;Feminino;Servidor;Tec/Adm;61
A - Ensino e Pesquisa;FORP;Feminino;Total;Total;626
A - Ensino e Pesquisa;FORP;Masculino;Aluno;Graduação;149
